#{"t_start": 1749007907.105998, "env_id": "None"}
r,l,t,current_walls,walls_broken
90.0,5,0.812751,61,4
30.0,9,0.813597,62,3
100.0,7,0.814554,63,2
35.0,9,0.815353,62,3
-10.0,5,0.815836,63,2
-120.0,6,0.816402,63,2
95.0,5,0.817269,61,4
30.0,8,0.818024,62,3
0.0,14,0.819431,62,3
-20.0,6,0.819972,63,2
-25.0,10,0.821101,63,2
-120.0,8,0.821904,63,2
-10.0,5,0.822444,63,2
30.0,7,0.823086,62,3
-125.0,7,0.824071,63,2
-10.0,6,0.824662,63,2
20.0,10,0.825515,62,3
-25.0,7,0.826211,63,2
-115.0,8,0.827207,63,2
40.0,9,0.828026,62,3
100.0,14,0.829211,62,3
-110.0,5,0.829668,63,2
-110.0,5,0.830459,63,2
35.0,7,0.831103,62,3
130.0,12,0.832095,62,3
60.0,14,0.833255,63,2
40.0,6,0.834105,62,3
-10.0,5,0.834819,63,2
50.0,13,0.835943,61,4
-110.0,6,0.836484,63,2
40.0,10,0.83762,62,3
5.0,11,0.838535,62,3
135.0,9,0.8394,62,3
105.0,15,0.840618,62,3
-110.0,6,0.841498,63,2
90.0,7,0.842162,63,2
35.0,6,0.842698,62,3
35.0,7,0.843326,62,3
-15.0,6,0.844169,63,2
-130.0,10,0.845097,63,2
-5.0,13,0.846186,62,3
5.0,12,0.847188,62,3
-20.0,6,0.848597,63,2
35.0,10,0.849448,62,3
30.0,9,0.850214,62,3
5.0,11,0.851197,62,3
80.0,20,0.853373,62,3
-25.0,19,0.854987,62,3
-10.0,5,0.855459,63,2
95.0,6,0.856029,61,4
25.0,10,0.857304,62,3
90.0,5,0.857829,61,4
-60.0,44,0.861304,62,3
35.0,10,0.862222,62,3
25.0,9,0.863289,62,3
-15.0,19,0.864837,62,3
0.0,11,0.86577,62,3
-15.0,7,0.866374,63,2
-110.0,6,0.867325,63,2
35.0,8,0.868141,62,3
140.0,8,0.868857,62,3
-65.0,21,0.870514,62,3
-110.0,7,0.871403,63,2
30.0,8,0.872185,62,3
25.0,7,0.872834,62,3
340.0,18,0.874947,59,3
-15.0,6,0.875802,63,2
-15.0,5,0.876294,63,2
30.0,10,0.87714,62,3
-10.0,6,0.877698,63,2
-15.0,7,0.878623,63,2
30.0,29,0.881023,62,3
-110.0,6,0.881584,63,2
-20.0,18,0.883055,62,3
-10.0,5,0.883866,63,2
70.0,12,0.884935,63,2
85.0,9,0.885724,61,4
105.0,15,0.887024,62,3
-10.0,12,0.888322,62,3
-20.0,10,0.889179,63,2
-15.0,8,0.889874,63,2
-5.0,16,0.891159,62,3
30.0,8,0.892164,62,3
-5.0,5,0.892635,63,2
50.0,12,0.893911,63,2
-5.0,5,0.894382,63,2
-10.0,11,0.895669,62,3
0.0,12,0.896741,62,3
345.0,18,0.898225,59,3
30.0,8,0.898933,62,3
130.0,9,0.90007,62,3
